dummy_businesspersonalities,dummy_celebrities,dummy_entertainmentleisurebusiness,dummy_hiphop,dummy_music,dummy_nbaplayers,dummy_news,dummy_politics,dummy_sports,dummy_sportsfigures,dummy_sportsfitnessbusiness,dummy_television,hashtags_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_sentiment,followers_count
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,165,0,-0.5994,4676387
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,61,0,-0.0772,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181,0,0.6841,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,181,3,0.4738,4676387
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,98,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,128,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,280,1,0.8886,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1,0.906,4676387
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,41,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,109,0,0.6809,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0.926,4676387
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,29,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,-0.296,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0.2382,4676387
0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,127,1,0.453,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,122,0,0.8719,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,186,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,0,0.5972,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,161,1,0.1027,4676387
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,1,-0.6124,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,0.3612,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,160,0,-0.3056,4676387
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0.4939,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,243,2,0.8468,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163,0,0.7783,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0.926,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,117,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,137,1,0.2732,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0.3612,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1,0.5423,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128,3,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,118,1,0.5053,4676387
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,61,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,-0.5574,4676387
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,42,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,1,0.0,4676387
