dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_jeanlucmlenchon,dummy_nikosaliagas,dummy_politicalfigures,dummy_soccer,hashtags_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,followers_count,impression_count
0,0,0,1,0,0,0,2,1,56,0,1684626,5774
0,0,0,1,0,0,2,0,1,74,0,1684626,5429
1,0,0,1,0,0,2,4,1,129,0,1684626,8883
0,0,0,1,0,0,2,0,1,73,0,1684626,2769
0,0,0,1,0,0,5,0,1,97,0,1684626,6395
0,0,0,1,0,0,0,2,1,159,0,1684626,7258
0,0,0,1,0,0,1,0,1,63,0,1684626,7816
0,0,0,0,0,0,0,2,0,276,0,2110529,52261
0,0,0,0,0,0,0,3,0,41,0,2110529,218
0,0,0,0,0,0,0,4,0,60,0,2110529,151
0,0,0,0,0,0,0,2,0,45,0,2110529,15657
0,0,0,0,0,0,0,3,0,45,0,2110529,2916
0,0,0,0,0,0,0,4,0,60,0,2110529,210
0,0,0,0,0,0,0,1,0,19,0,2110529,201
