dummy_celebrities,dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_francepolitics,dummy_jeanlucmlenchon,dummy_ligue1,dummy_nikosaliagas,dummy_politicalfigures,dummy_politics,dummy_soccer,dummy_sports,dummy_sportsfitnessbusiness,dummy_staderennaisfc,dummy_tvhosts,dummy_tvstars,hashtags_count,impression_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_period,tweet_sentiment,tweet_text,followers_count
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,90,4,0,96,0,11,0.0,@Nordu_Yack @lesRepublicains @EmmanuelMacron @davidlisnard Son projet de réforme n’a RIEN À VOIR,92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3087,0,1,302,0,6,0.4588,"Le risque est très grand que face au désordre endémique qui s’installe E. Macron tente de sauver la bureaucratie régnante -son biotope - par une dissolution qui, une fois encore, servirait à la légitimer. Les #maires , derniers maillons de confiance rep,, peuvent-ils accepter ? https://t.co/qtZPSGJScB",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10668,3,0,278,0,19,0.0,"L’implosion de @lesRepublicains crée de l’énergie. Les Jacobins pro bureaucratie rejoindront  @EmmanuelMacron non rééligible ; les étatistes identitaires s’accoleront au pas de l’oie au RN ; les girondins disruptifs, pro terrain et sté civile, rejoindront @davidlisnard éligible",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1550,0,1,324,2,6,0.0,"«Utiliser la poubellisation de Paris pour tenter de se refaire n’était vraiment pas une bonne idée. Lugubre  symbole. Rendez-nous une gauche grande et une autre classe pol. dépassant ses opinions propres, les logiques d’ego, pour servir. Nous n’avons pas de pays de rechange » https://t.co/3sosOEjIas https://t.co/gN6oMNL6uK",92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,569,1,0,43,0,2,0.0,@vis_loup Il m’a retourné comme une crêpe !,92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,0,1,0.0,RT @Qofficiel: « On ressent la montée de l'incivisme. Les maires restent motivés mais sont parfois un peu démoralisés. C'est un mandat très…,92244
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,127,0,15,0.0,RT @SergeOrru: Rejoignez-nous pour entendre nos panélistes expliquer pourquoi nous appelons @elonmusk à #BanTaliban de Twitter.,92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,273,1,0,172,0,1,0.0,"@Bali_plume Hélas ! Hélas d’Artagnan se prend au sérieux ! Nous avons eu Gainsbarre, Pascal Jardin et Joséphine Baker… nous avons Hanouna, Louis Boyard et Sandrine Rousseau",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,140,0,13,0.3818,"RT @AlexandreJardin: Ne pas croire en l’intelligence des autres, aux intelligences du terrain, aux intelligents différents de soi est une f…",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5853,0,1,241,0,4,0.3818,"Ne pas croire en l’intelligence des autres, aux intelligences du terrain, aux intelligents différents de soi est une forme de maladie mentale administrative qui lamine notre pays et dont l’Elysee garantit le maintien. https://t.co/Pv2WQ7lvN4",92244
